"filename", "language", "Python", "YAML", "MS SQL", "Markdown", "pip requirements", "comment", "blank", "total"
"c:\Users\Eric\Desktop\coach.pro.python\ui\layout\sidebar.py", "Python", 57, 0, 0, 0, 0, 1, 12, 70
"c:\Users\Eric\Desktop\coach.pro.python\ui\modals\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Eric\Desktop\coach.pro.python\ui\modals\client_form_modal.py", "Python", 88, 0, 0, 0, 0, 4, 20, 112
"c:\Users\Eric\Desktop\coach.pro.python\ui\modals\session_log_modal.py", "Python", 129, 0, 0, 0, 0, 0, 21, 150
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\billing_page.py", "Python", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\calendar_page.py", "Python", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\client_detail_page.py", "Python", 49, 0, 0, 0, 0, 0, 10, 59
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\client_detail_page_components\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\client_detail_page_components\anamnese_tab.py", "Python", 45, 0, 0, 0, 0, 0, 14, 59
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\client_detail_page_components\fiche_nutrition_tab.py", "Python", 203, 0, 0, 0, 0, 1, 28, 232
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\client_detail_page_components\stats_tab.py", "Python", 76, 0, 0, 0, 0, 0, 16, 92
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\client_detail_page_components\suivi_tab.py", "Python", 41, 0, 0, 0, 0, 0, 10, 51
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\clients_page.py", "Python", 74, 0, 0, 0, 0, 3, 21, 98
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\dashboard_page.py", "Python", 186, 0, 0, 0, 0, 13, 41, 240
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\database_page.py", "Python", 42, 0, 0, 0, 0, 2, 12, 56
"c:\Users\Eric\Desktop\coach.pro.python\ui\pages\database_page_tabs\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
